celex,subject,country,case_label,ecli,judge,advocate,chamber,lodge_date,document_date,year_document,year_lodge,is_join_case,ruling_title,ruling_name,ruling_type
62010CJ0431,area of freedom; security and justice,Ireland,  Case C-431/10,EU:C:2011:227,JuhÃ¡sz,Trstenjak,Ireland-Seventh Chamber,2010-09-01,2011-04-07,2011,2010.0,0,Judgment of the Court (Seventh Chamber) of 7 April 2011. , European Commission v Ireland. ,not_specified
62010CJ0431,asylum policy,Ireland,  Case C-431/10,EU:C:2011:227,JuhÃ¡sz,Trstenjak,Ireland-Seventh Chamber,2010-09-01,2011-04-07,2011,2010.0,0,Judgment of the Court (Seventh Chamber) of 7 April 2011. , European Commission v Ireland. ,not_specified
62010CJ0434,Citizenship of the Union,Bulgaria,Case C-434/10,EU:C:2011:750,Bonichot,Mengozzi,Bulgaria-Fourth Chamber,2010-09-06,2011-11-17,2011,2010.0,0,Judgment of the Court (Fourth Chamber) of 17 November 2011.,Petar Aladzhov v Zamestnik director na Stolichna direktsia na vatreshnite raboti kam Ministerstvo na vatreshnite raboti.,Reference for a preliminary ruling: Administrativen sad Sofia-grad - Bulgaria.
62010CJ0434,Right of entry and residence,Bulgaria,Case C-434/10,EU:C:2011:750,Bonichot,Mengozzi,Bulgaria-Fourth Chamber,2010-09-06,2011-11-17,2011,2010.0,0,Judgment of the Court (Fourth Chamber) of 17 November 2011.,Petar Aladzhov v Zamestnik director na Stolichna direktsia na vatreshnite raboti kam Ministerstvo na vatreshnite raboti.,Reference for a preliminary ruling: Administrativen sad Sofia-grad - Bulgaria.
62010CJ0435,Social Policy,Netherlands,  Case C-435/10,EU:C:2011:751,Schiemann,Bot,Netherlands-Fourth Chamber,2010-09-13,2011-11-17,2011,2010.0,0,Judgment of the Court (Fourth Chamber) of 17 November 2011. , J.C. van Ardennen v Raad van bestuur van het Uitvoeringsinstituut werknemersverzekeringen. , Reference for a preliminary ruling: Centrale Raad van Beroep - Netherlands. 
62010CJ0436,Taxation,Belgium,  Case C-436/10,EU:C:2012:185,Kasel,Kokott,Belgium-Fifth Chamber,2010-09-13,2012-03-29,2012,2010.0,0,Judgment of the Court (Fifth Chamber) of 29 March 2012. , Belgian State v BLM SA. , Reference for a preliminary ruling: Cour d'appel de Mons - Belgium. 
62010CJ0436,Value added tax,Belgium,  Case C-436/10,EU:C:2012:185,Kasel,Kokott,Belgium-Fifth Chamber,2010-09-13,2012-03-29,2012,2010.0,0,Judgment of the Court (Fifth Chamber) of 29 March 2012. , Belgian State v BLM SA. , Reference for a preliminary ruling: Cour d'appel de Mons - Belgium. 
62010CJ0442,Approximation of laws,United Kingdom,  Case C-442/10,EU:C:2011:799,JaraÅ¡iÅ«nas,Mengozzi,United Kingdom-Fourth Chamber,2010-09-13,2011-12-01,2011,2010.0,0,Judgment of the Court (Fourth Chamber) of 1 December 2011.,Churchill Insurance Company Limited v Benjamin Wilkinson and Tracy Evans v Equity Claims Limited.,Reference for a preliminary ruling: Court of Appeal (England &amp; Wales) (Civil Division) - United Kingdom.
62010CJ0443,Free movement of goods,France,  Case C-443/10,EU:C:2011:641,Borg Barthet,JÃ¤Ã¤skinen,France-Fifth Chamber,2010-09-14,2011-10-06,2011,2010.0,0,Judgment of the Court (Fifth Chamber) of 6 October 2011. , Philippe Bonnarde v Agence de Services et de Paiement. , Reference for a preliminary ruling: Tribunal administratif de Limoges - France. 
62010CJ0443,Measures having equivalent effect,France,  Case C-443/10,EU:C:2011:641,Borg Barthet,JÃ¤Ã¤skinen,France-Fifth Chamber,2010-09-14,2011-10-06,2011,2010.0,0,Judgment of the Court (Fifth Chamber) of 6 October 2011. , Philippe Bonnarde v Agence de Services et de Paiement. , Reference for a preliminary ruling: Tribunal administratif de Limoges - France. 
62010CJ0443,Quantitative restrictions,France,  Case C-443/10,EU:C:2011:641,Borg Barthet,JÃ¤Ã¤skinen,France-Fifth Chamber,2010-09-14,2011-10-06,2011,2010.0,0,Judgment of the Court (Fifth Chamber) of 6 October 2011. , Philippe Bonnarde v Agence de Services et de Paiement. , Reference for a preliminary ruling: Tribunal administratif de Limoges - France. 
62010CJ0444,Taxation,Germany,Case C-444/10,EU:C:2011:724,LÃµhmus,Mengozzi,Germany-Second Chamber,2010-09-15,2011-11-10,2011,2010.0,0,Judgment of the Court (Second Chamber) of 10 November 2011.,Finanzamt Lüdenscheid v Christel Schriever.,Reference for a preliminary ruling: Bundesfinanzhof - Germany.
62010CJ0444,Value added tax,Germany,Case C-444/10,EU:C:2011:724,LÃµhmus,Mengozzi,Germany-Second Chamber,2010-09-15,2011-11-10,2011,2010.0,0,Judgment of the Court (Second Chamber) of 10 November 2011.,Finanzamt Lüdenscheid v Christel Schriever.,Reference for a preliminary ruling: Bundesfinanzhof - Germany.
62010CJ0452,Competition,France,Case C-452/10 P,EU:C:2012:366,Fernlund,JÃ¤Ã¤skinen,Italy; France-Second Chamber,2010-09-13,2012-06-21,2012,2010.0,0,Judgment of the Court (Second Chamber); 21 June 2012.,BNP Paribas and Banca Nazionale del Lavoro SpA (BNL) v European Commission.,not_specified
62010CJ0452,Competition,Italy,Case C-452/10 P,EU:C:2012:366,Fernlund,JÃ¤Ã¤skinen,Italy; France-Second Chamber,2010-09-13,2012-06-21,2012,2010.0,0,Judgment of the Court (Second Chamber); 21 June 2012.,BNP Paribas and Banca Nazionale del Lavoro SpA (BNL) v European Commission.,not_specified
62010CJ0452,State aids,France,Case C-452/10 P,EU:C:2012:366,Fernlund,JÃ¤Ã¤skinen,Italy; France-Second Chamber,2010-09-13,2012-06-21,2012,2010.0,0,Judgment of the Court (Second Chamber); 21 June 2012.,BNP Paribas and Banca Nazionale del Lavoro SpA (BNL) v European Commission.,not_specified
62010CJ0452,State aids,Italy,Case C-452/10 P,EU:C:2012:366,Fernlund,JÃ¤Ã¤skinen,Italy; France-Second Chamber,2010-09-13,2012-06-21,2012,2010.0,0,Judgment of the Court (Second Chamber); 21 June 2012.,BNP Paribas and Banca Nazionale del Lavoro SpA (BNL) v European Commission.,not_specified
62010CJ0453,Approximation of laws,Slovakia,Case C-453/10,EU:C:2012:144,Safjan,Trstenjak,Slovakia-First Chamber,2010-09-16,2012-03-15,2012,2010.0,0,Judgment of the Court (First Chamber); 15 March 2012.,Jana Pereničová and Vladislav Perenič v SOS financ spol. s r. o.,Reference for a preliminary ruling from the Okresný súd Prešov.
62010CJ0453,Consumer protection,Slovakia,Case C-453/10,EU:C:2012:144,Safjan,Trstenjak,Slovakia-First Chamber,2010-09-16,2012-03-15,2012,2010.0,0,Judgment of the Court (First Chamber); 15 March 2012.,Jana Pereničová and Vladislav Perenič v SOS financ spol. s r. o.,Reference for a preliminary ruling from the Okresný súd Prešov.
62010CJ0454,Customs Union,Germany,  Case C-454/10,EU:C:2011:752,LÃµhmus,Cruz VillalÃ³n,Germany-Second Chamber,2010-09-17,2011-11-17,2011,2010.0,0,Judgment of the Court (Second Chamber) of 17 November 2011. , Oliver Jestel v Hauptzollamt Aachen. , Reference for a preliminary ruling: Bundesfinanzhof - Germany. 
62010CJ0454,Free movement of goods,Germany,  Case C-454/10,EU:C:2011:752,LÃµhmus,Cruz VillalÃ³n,Germany-Second Chamber,2010-09-17,2011-11-17,2011,2010.0,0,Judgment of the Court (Second Chamber) of 17 November 2011. , Oliver Jestel v Hauptzollamt Aachen. , Reference for a preliminary ruling: Bundesfinanzhof - Germany. 
62010CJ0456,Free movement of goods,Spain,Case C-456/10,EU:C:2012:241,MalenovskÃ½,Kokott,Spain-Third Chamber,2010-09-17,2012-04-26,2012,2010.0,0,Judgment of the Court (Third Chamber); 26 April 2012.,Asociación Nacional de Expendedores de Tabaco y Timbre (ANETT) v Administración del Estado.,Reference for a preliminary ruling from the Tribunal Supremo.
62010CJ0456,Measures having equivalent effect,Spain,Case C-456/10,EU:C:2012:241,MalenovskÃ½,Kokott,Spain-Third Chamber,2010-09-17,2012-04-26,2012,2010.0,0,Judgment of the Court (Third Chamber); 26 April 2012.,Asociación Nacional de Expendedores de Tabaco y Timbre (ANETT) v Administración del Estado.,Reference for a preliminary ruling from the Tribunal Supremo.
